"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051153","GO:0051153","regulation of striated muscle cell differentiation","2/171","108/23189",0.0185185185185185,2.51126272471302,1.35681440591017,0.189467248623065,0.402993830404614,0.355764575526461,"Hdac9/Tgfb1",2
"GO:0090100","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","2/171","108/23189",0.0185185185185185,2.51126272471302,1.35681440591017,0.189467248623065,0.402993830404614,0.355764575526461,"Tgfb1/Lgals9",2
"GO:0052548","GO:0052548","regulation of endopeptidase activity","4/171","306/23189",0.0130718954248366,1.77265604097389,1.17269843503084,0.190306907223752,0.404095702925212,0.356737313022669,"Wnt9a/Stat1/Naip2/Dap",4
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","3/171","204/23189",0.0147058823529412,1.99423804609563,1.22936010664758,0.191215373454745,0.404095702925212,0.356737313022669,"Lgals3/Tgfb1/Lgals9",3
"GO:0019319","GO:0019319","hexose biosynthetic process","2/171","109/23189",0.018348623853211,2.48822361714684,1.34233046581686,0.192131681252443,0.404095702925212,0.356737313022669,"Abcc2/Slc39a14",2
"GO:0032611","GO:0032611","interleukin-1 beta production","2/171","109/23189",0.018348623853211,2.48822361714684,1.34233046581686,0.192131681252443,0.404095702925212,0.356737313022669,"Sphk1/Egr1",2
"GO:0006691","GO:0006691","leukotriene metabolic process","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Pla2g4a",1
"GO:0006925","GO:0006925","inflammatory cell apoptotic process","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"St6gal1",1
"GO:0007274","GO:0007274","neuromuscular synaptic transmission","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Chrna1",1
"GO:0009226","GO:0009226","nucleotide-sugar biosynthetic process","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Uap1",1
"GO:0021801","GO:0021801","cerebral cortex radial glia-guided migration","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Dcx",1
"GO:0022030","GO:0022030","telencephalon glial cell migration","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Dcx",1
"GO:0032303","GO:0032303","regulation of icosanoid secretion","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Pla2g4a",1
"GO:0034367","GO:0034367","protein-containing complex remodeling","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Pla2g2e",1
"GO:0034755","GO:0034755","iron ion transmembrane transport","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Slc39a14",1
"GO:0045061","GO:0045061","thymic T cell selection","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Dock2",1
"GO:0045070","GO:0045070","positive regulation of viral genome replication","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Gbp7",1
"GO:0045475","GO:0045475","locomotor rhythm","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Egr1",1
"GO:0046033","GO:0046033","AMP metabolic process","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Ak1",1
"GO:0055081","GO:0055081","monoatomic anion homeostasis","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Abcc2",1
"GO:0060444","GO:0060444","branching involved in mammary gland duct morphogenesis","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Tgfb1",1
"GO:0071577","GO:0071577","zinc ion transmembrane transport","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Slc39a14",1
"GO:2000193","GO:2000193","positive regulation of fatty acid transport","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Pla2g4a",1
"GO:2001032","GO:2001032","regulation of double-strand break repair via nonhomologous end joining","1/171","29/23189",0.0344827586206897,4.67614438394838,1.70733282444742,0.19327622747004,0.404095702925212,0.356737313022669,"Hmga2",1
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","4/171","308/23189",0.012987012987013,1.76114528746108,1.15904775131224,0.193288136509359,0.404095702925212,0.356737313022669,"Mill2/Rigi/Tgfb1/Lgals9",4
"GO:0007173","GO:0007173","epidermal growth factor receptor signaling pathway","2/171","110/23189",0.0181818181818182,2.46560340244551,1.32800656427773,0.194801093979877,0.406353060385007,0.358730117274012,"Afap1l2/Tgfb1",2
"GO:0021954","GO:0021954","central nervous system neuron development","2/171","110/23189",0.0181818181818182,2.46560340244551,1.32800656427773,0.194801093979877,0.406353060385007,0.358730117274012,"Dcx/Dclk2",2
"GO:0046425","GO:0046425","regulation of receptor signaling pathway via JAK-STAT","2/171","110/23189",0.0181818181818182,2.46560340244551,1.32800656427773,0.194801093979877,0.406353060385007,0.358730117274012,"Gbp7/Hmga2",2
"GO:0060271","GO:0060271","cilium assembly","5/171","417/23189",0.0119904076738609,1.62599744765591,1.11182365705012,0.195438534541784,0.407380767555985,0.35963738130106,"Clxn/Dcx/Ablim1/Cfap100/Syne1",5
"GO:0010389","GO:0010389","regulation of G2/M transition of mitotic cell cycle","2/171","111/23189",0.018018018018018,2.44339075918023,1.31383925500606,0.197475270159902,0.410410199578998,0.362311776084403,"Nabp1/Ccng1",2
"GO:0046330","GO:0046330","positive regulation of JNK cascade","2/171","111/23189",0.018018018018018,2.44339075918023,1.31383925500606,0.197475270159902,0.410410199578998,0.362311776084403,"Naip2/Ccn2",2
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","2/171","111/23189",0.018018018018018,2.44339075918023,1.31383925500606,0.197475270159902,0.410410199578998,0.362311776084403,"Sphk1/Bcl2l1",2
"GO:0051101","GO:0051101","regulation of DNA binding","2/171","111/23189",0.018018018018018,2.44339075918023,1.31383925500606,0.197475270159902,0.410410199578998,0.362311776084403,"Tgfb1/Hmga2",2
"GO:0006516","GO:0006516","glycoprotein catabolic process","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Cela1",1
"GO:0010737","GO:0010737","protein kinase A signaling","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Lcp1",1
"GO:0010955","GO:0010955","negative regulation of protein processing","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Plat",1
"GO:0019433","GO:0019433","triglyceride catabolic process","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Mgll",1
"GO:0032928","GO:0032928","regulation of superoxide anion generation","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Tgfb1",1
"GO:0046128","GO:0046128","purine ribonucleoside metabolic process","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Ak1",1
"GO:0046885","GO:0046885","regulation of hormone biosynthetic process","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Egr1",1
"GO:0061298","GO:0061298","retina vasculature development in camera-type eye","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Tgfb1",1
"GO:0097345","GO:0097345","mitochondrial outer membrane permeabilization","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Bcl2l1",1
"GO:1900745","GO:1900745","positive regulation of p38MAPK cascade","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Sphk1",1
"GO:1902894","GO:1902894","negative regulation of miRNA transcription","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Tgfb1",1
"GO:1903318","GO:1903318","negative regulation of protein maturation","1/171","30/23189",0.0333333333333333,4.52027290448343,1.66292616642441,0.199232607655819,0.410425005815135,0.36232484708926,"Plat",1
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","2/171","112/23189",0.0178571428571429,2.42157477025898,1.2998251973985,0.200153996035788,0.411119229813656,0.362937710829397,"Tgfb1/Bcl2l1",2
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","2/171","112/23189",0.0178571428571429,2.42157477025898,1.2998251973985,0.200153996035788,0.411119229813656,0.362937710829397,"Timp4/Dap",2
"GO:0090316","GO:0090316","positive regulation of intracellular protein transport","2/171","112/23189",0.0178571428571429,2.42157477025898,1.2998251973985,0.200153996035788,0.411119229813656,0.362937710829397,"Tgfb1/Rapgef3",2
"GO:1902476","GO:1902476","chloride transmembrane transport","2/171","112/23189",0.0178571428571429,2.42157477025898,1.2998251973985,0.200153996035788,0.411119229813656,0.362937710829397,"Oca2/Slc26a7",2
"GO:0009101","GO:0009101","glycoprotein biosynthetic process","4/171","314/23189",0.0127388535031847,1.72749282973889,1.11868779025529,0.20231888870832,0.412047662253935,0.363757334724605,"Gcnt7/B3galt5/St6gal1/St3gal1",4
"GO:0010721","GO:0010721","negative regulation of cell development","4/171","314/23189",0.0127388535031847,1.72749282973889,1.11868779025529,0.20231888870832,0.412047662253935,0.363757334724605,"Dusp10/Tgfb1/Hmga2/Irgm1",4
"GO:0015850","GO:0015850","organic hydroxy compound transport","4/171","314/23189",0.0127388535031847,1.72749282973889,1.11868779025529,0.20231888870832,0.412047662253935,0.363757334724605,"Lgals3/Abcc2/Itgb3/Osbpl6",4
"GO:0006835","GO:0006835","dicarboxylic acid transport","2/171","113/23189",0.0176991150442478,2.40014490503545,1.28596115236718,0.202837060709151,0.412047662253935,0.363757334724605,"Abcc2/Slc26a7",2
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","2/171","113/23189",0.0176991150442478,2.40014490503545,1.28596115236718,0.202837060709151,0.412047662253935,0.363757334724605,"Tgfb1/Bcl2l1",2
"GO:0060993","GO:0060993","kidney morphogenesis","2/171","113/23189",0.0176991150442478,2.40014490503545,1.28596115236718,0.202837060709151,0.412047662253935,0.363757334724605,"Stat1/Tgfb1",2
"GO:0072080","GO:0072080","nephron tubule development","2/171","113/23189",0.0176991150442478,2.40014490503545,1.28596115236718,0.202837060709151,0.412047662253935,0.363757334724605,"Stat1/Tgfb1",2
"GO:0110020","GO:0110020","regulation of actomyosin structure organization","2/171","113/23189",0.0176991150442478,2.40014490503545,1.28596115236718,0.202837060709151,0.412047662253935,0.363757334724605,"Rapgef3/Ccn2",2
"GO:0001778","GO:0001778","plasma membrane repair","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Myof",1
"GO:0002507","GO:0002507","tolerance induction","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Tgfb1",1
"GO:0003338","GO:0003338","metanephros morphogenesis","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Stat1",1
"GO:0006027","GO:0006027","glycosaminoglycan catabolic process","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Tgfb1",1
"GO:0006688","GO:0006688","glycosphingolipid biosynthetic process","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"St3gal1",1
"GO:0006829","GO:0006829","zinc ion transport","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Slc39a14",1
"GO:0006882","GO:0006882","intracellular zinc ion homeostasis","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Slc39a14",1
"GO:0006910","GO:0006910","phagocytosis, recognition","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Megf10",1
"GO:0030325","GO:0030325","adrenal gland development","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Hmga2",1
"GO:0032801","GO:0032801","receptor catabolic process","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Tgfb1",1
"GO:0033688","GO:0033688","regulation of osteoblast proliferation","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Itgb3",1
"GO:0036119","GO:0036119","response to platelet-derived growth factor","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Itgb3",1
"GO:0042558","GO:0042558","pteridine-containing compound metabolic process","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Mthfd2l",1
"GO:0043276","GO:0043276","anoikis","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Bcl2l1",1
"GO:0045730","GO:0045730","respiratory burst","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Dusp10",1
"GO:0048261","GO:0048261","negative regulation of receptor-mediated endocytosis","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Itgb3",1
"GO:0050820","GO:0050820","positive regulation of coagulation","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Plat",1
"GO:0051156","GO:0051156","glucose 6-phosphate metabolic process","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Hsd11b1",1
"GO:0070233","GO:0070233","negative regulation of T cell apoptotic process","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"St3gal1",1
"GO:0098810","GO:0098810","neurotransmitter reuptake","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Itgb3",1
"GO:0120255","GO:0120255","olefinic compound biosynthetic process","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Egr1",1
"GO:1902042","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Bcl2l1",1
"GO:1902235","GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","1/171","31/23189",0.032258064516129,4.37445764950009,1.62042976620149,0.20514526468293,0.412047662253935,0.363757334724605,"Bcl2l1",1
"GO:0032231","GO:0032231","regulation of actin filament bundle assembly","2/171","115/23189",0.0173913043478261,2.35840325451309,1.25867062764005,0.208215376966101,0.417618011961944,0.368674861867425,"Rapgef3/Ccn2",2
"GO:0070227","GO:0070227","lymphocyte apoptotic process","2/171","115/23189",0.0173913043478261,2.35840325451309,1.25867062764005,0.208215376966101,0.417618011961944,0.368674861867425,"Lgals3/St3gal1",2
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","4/171","318/23189",0.0125786163522013,1.70576336018243,1.09225992419776,0.208408808323143,0.417708252579292,0.368754526647637,"Lgals3/Oas1g/Oas1a/Nfatc2",4
"GO:0043502","GO:0043502","regulation of muscle adaptation","2/171","116/23189",0.0172413793103448,2.33807219197419,1.24523814256734,0.210910220775059,0.417871113729572,0.368898301126618,"Mlip/Nfatc1",2
"GO:0055013","GO:0055013","cardiac muscle cell development","2/171","116/23189",0.0172413793103448,2.33807219197419,1.24523814256734,0.210910220775059,0.417871113729572,0.368898301126618,"Col14a1/Speg",2
"GO:0071482","GO:0071482","cellular response to light stimulus","2/171","116/23189",0.0172413793103448,2.33807219197419,1.24523814256734,0.210910220775059,0.417871113729572,0.368898301126618,"Trpm1/Slc24a4",2
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Mthfd2l",1
"GO:0001945","GO:0001945","lymph vessel development","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Nfatc1",1
"GO:0002825","GO:0002825","regulation of T-helper 1 type immune response","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Pla2g4a",1
"GO:0003299","GO:0003299","muscle hypertrophy in response to stress","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Mlip",1
"GO:0010458","GO:0010458","exit from mitosis","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Tgfb1",1
"GO:0010623","GO:0010623","programmed cell death involved in cell development","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Bcl2l1",1
"GO:0014898","GO:0014898","cardiac muscle hypertrophy in response to stress","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Mlip",1
"GO:0021952","GO:0021952","central nervous system projection neuron axonogenesis","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Dcx",1
"GO:0042178","GO:0042178","xenobiotic catabolic process","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Abcc2",1
"GO:0042634","GO:0042634","regulation of hair cycle","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Nfatc1",1
"GO:0045830","GO:0045830","positive regulation of isotype switching","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Tgfb1",1
"GO:0072207","GO:0072207","metanephric epithelium development","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Stat1",1
"GO:0090280","GO:0090280","positive regulation of calcium ion import","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Lgals3",1
"GO:1903055","GO:1903055","positive regulation of extracellular matrix organization","1/171","32/23189",0.03125,4.23775584795322,1.57969719131634,0.21101451762961,0.417871113729572,0.368898301126618,"Tgfb1",1
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","2/171","117/23189",0.0170940170940171,2.31808866896586,1.23194365228324,0.213608587773431,0.421984566176694,0.372529673503534,"Tgfb1/Bcl2l1",2
"GO:0046364","GO:0046364","monosaccharide biosynthetic process","2/171","117/23189",0.0170940170940171,2.31808866896586,1.23194365228324,0.213608587773431,0.421984566176694,0.372529673503534,"Abcc2/Slc39a14",2
"GO:0120032","GO:0120032","regulation of plasma membrane bounded cell projection assembly","3/171","216/23189",0.0138888888888889,1.88344704353476,1.12433168346156,0.213892824003907,0.421984566176694,0.372529673503534,"Ppp1r16b/Bin3/Syne1",3
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","3/171","216/23189",0.0138888888888889,1.88344704353476,1.12433168346156,0.213892824003907,0.421984566176694,0.372529673503534,"Mthfd2l/Uroc1/Oca2",3
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","5/171","432/23189",0.0115740740740741,1.56953920294564,1.02992096797537,0.214913675810718,0.421984566176694,0.372529673503534,"Lgals3/Dusp10/Tgfb1/Lgals9/Irgm1",5
"GO:0060041","GO:0060041","retina development in camera-type eye","3/171","217/23189",0.0138248847926267,1.87476756407147,1.11588397948575,0.21580886319707,0.421984566176694,0.372529673503534,"Trpm1/Dcx/Tgfb1",3
"GO:0016236","GO:0016236","macroautophagy","4/171","323/23189",0.0123839009287926,1.67935835460685,1.05974405861432,0.216094891282149,0.421984566176694,0.372529673503534,"Tgtp2/Retreg1/Irgm1/Trp53inp2",4
"GO:0006939","GO:0006939","smooth muscle contraction","2/171","118/23189",0.0169491525423729,2.29844384973734,1.21878436937829,0.216310280908547,0.421984566176694,0.372529673503534,"Sphk1/Mylk",2
"GO:0016525","GO:0016525","negative regulation of angiogenesis","2/171","118/23189",0.0169491525423729,2.29844384973734,1.21878436937829,0.216310280908547,0.421984566176694,0.372529673503534,"Angpt4/Stat1",2
"GO:0030038","GO:0030038","contractile actin filament bundle assembly","2/171","118/23189",0.0169491525423729,2.29844384973734,1.21878436937829,0.216310280908547,0.421984566176694,0.372529673503534,"Rapgef3/Ccn2",2
"GO:0043149","GO:0043149","stress fiber assembly","2/171","118/23189",0.0169491525423729,2.29844384973734,1.21878436937829,0.216310280908547,0.421984566176694,0.372529673503534,"Rapgef3/Ccn2",2
"GO:0002837","GO:0002837","regulation of immune response to tumor cell","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Tgfb1",1
"GO:0003209","GO:0003209","cardiac atrium morphogenesis","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Tnnt2",1
"GO:0003416","GO:0003416","endochondral bone growth","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Ecm1",1
"GO:0014887","GO:0014887","cardiac muscle adaptation","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Mlip",1
"GO:0034405","GO:0034405","response to fluid shear stress","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Tgfb1",1
"GO:0048011","GO:0048011","neurotrophin TRK receptor signaling pathway","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Dok5",1
"GO:0048535","GO:0048535","lymph node development","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Tgfb1",1
"GO:0048745","GO:0048745","smooth muscle tissue development","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Mylk",1
"GO:0060964","GO:0060964","regulation of miRNA-mediated gene silencing","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Tgfb1",1
"GO:0061037","GO:0061037","negative regulation of cartilage development","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Wnt9a",1
"GO:0070723","GO:0070723","response to cholesterol","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Tgfb1",1
"GO:0099505","GO:0099505","regulation of presynaptic membrane potential","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Kctd12",1
"GO:1900242","GO:1900242","regulation of synaptic vesicle endocytosis","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Bcl2l1",1
"GO:2000629","GO:2000629","negative regulation of miRNA metabolic process","1/171","33/23189",0.0303030303030303,4.10933900407585,1.54059747747474,0.216840683259239,0.421984566176694,0.372529673503534,"Tgfb1",1
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","5/171","434/23189",0.0115207373271889,1.56230630339289,1.01923729114812,0.217556522209784,0.422543609025669,0.37302319878075,"Myom3/Lcp1/Tnnt2/Cetn4/Pspc1",5
"GO:0008361","GO:0008361","regulation of cell size","3/171","218/23189",0.0137614678899083,1.86616771286013,1.10748077277563,0.217728583186645,0.422543609025669,0.37302319878075,"Dcx/Mgll/Rapgef3",3
"GO:0051091","GO:0051091","positive regulation of DNA-binding transcription factor activity","3/171","218/23189",0.0137614678899083,1.86616771286013,1.10748077277563,0.217728583186645,0.422543609025669,0.37302319878075,"Trim12a/Sphk1/Trim12c",3
"GO:0071383","GO:0071383","cellular response to steroid hormone stimulus","3/171","218/23189",0.0137614678899083,1.86616771286013,1.10748077277563,0.217728583186645,0.422543609025669,0.37302319878075,"Zfp366/Tgfb1/Hmga2",3
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","5/171","435/23189",0.0114942528735632,1.55871479464946,1.01391566118217,0.218881805167712,0.424162772022246,0.374452602391239,"Mill2/Irf7/Il6ra/Tgfb1/Pla2g4a",5
"GO:0061326","GO:0061326","renal tubule development","2/171","119/23189",0.0168067226890756,2.27912919553786,1.20575758678059,0.219015105809639,0.424162772022246,0.374452602391239,"Stat1/Tgfb1",2
"GO:0061387","GO:0061387","regulation of extent of cell growth","2/171","119/23189",0.0168067226890756,2.27912919553786,1.20575758678059,0.219015105809639,0.424162772022246,0.374452602391239,"Dcx/Mgll",2
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","4/171","325/23189",0.0123076923076923,1.66902384165542,1.04689488456165,0.219191242143043,0.4242119363071,0.374496004819794,"Mthfd2l/Sphk1/Mgll/Pla2g4a",4
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","3/171","219/23189",0.0136986301369863,1.85764639910278,1.09912158433022,0.219651908356113,0.424228188135967,0.374510351999731,"Cd109/Tgfb1/Lgals9",3
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","3/171","219/23189",0.0136986301369863,1.85764639910278,1.09912158433022,0.219651908356113,0.424228188135967,0.374510351999731,"Lgals3/Tgfb1/Lgals9",3
"GO:0060491","GO:0060491","regulation of cell projection assembly","3/171","219/23189",0.0136986301369863,1.85764639910278,1.09912158433022,0.219651908356113,0.424228188135967,0.374510351999731,"Ppp1r16b/Bin3/Syne1",3
"GO:0048771","GO:0048771","tissue remodeling","3/171","220/23189",0.0136363636363636,1.84920255183413,1.09080594257177,0.221578763390954,0.42500959970707,0.375200185279873,"Itgb3/Cela1/Sema3c",3
"GO:2000181","GO:2000181","negative regulation of blood vessel morphogenesis","2/171","120/23189",0.0166666666666667,2.26013645224172,1.19286067477489,0.221722870759396,0.42500959970707,0.375200185279873,"Angpt4/Stat1",2
"GO:0001779","GO:0001779","natural killer cell differentiation","1/171","34/23189",0.0294117647058824,3.98847609219126,1.50301307932961,0.222624076037037,0.42500959970707,0.375200185279873,"Lgals9",1
